"filename", "language", "C++", "C", "Markdown", "Makefile", "Shell Script", "Python", "YAML", "reStructuredText", "pip requirements", "Diff", "Docker", "comment", "blank", "total"
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/src/strset.c", "C", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 178
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/src/strset.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 22
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/src/usdt.bpf.h", "C++", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 31, 248
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/src/usdt.c", "C", 0, 996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 327, 197, 1520
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/diffs/001-fix-oob-write-in-test_verifier.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 4, 36
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/managers/debian.sh", "Shell Script", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 10, 91
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/managers/test_compile.sh", "Shell Script", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 4, 16
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/managers/travis_wait.bash", "Shell Script", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 14, 62
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/managers/ubuntu.sh", "Shell Script", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 6, 25
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/rootfs/mkrootfs_arch.sh", "Shell Script", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 11, 18, 108
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/travis-ci/rootfs/mkrootfs_debian.sh", "Shell Script", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 14, 9, 53
